pan-myCAF	pan-dCAF	pan-iCAF	pan-iCAF-2	pan-pCAF
ADIRF	COL1A1	CFD	IER3	NUSAP1
ACTA2	THBS2	GPC3	CXCL2	DIAPH3
MYH11	CTHRC1	C3	ICAM1	LOXL2
TAGLN	COL3A1	ADH1B	TNFAIP2	ADAM12
SPARCL1	LUM	IGF1	NFKBIA	LOX
MCAM	COL1A2	EFEMP1	NR4A1	POSTN
A2M	LGALS1	PODN	CCL2	THY1
MYLK	COL5A1	SEPP1	SOD2	CD248
IGFBP7	POSTN	CXCL12	FOSB	FN1
CRIP1	SERPINE1	ABI3BP	PIM1	COL12A1
TINAGL1	LOXL2	FBLN1	ZFP36	CTHRC1
TPM2	COL11A1	MGST1	CLU	COL5A1
PTP4A3	CTSK	MFAP4	ABL2	LOXL1
PPP1R14A	COL12A1	PLA2G2A	GEM	COL1A1
CRIP2	MMP2	DPT	NR4A3	COL8A1
ADAMTS1	INHBA	WISP2	APOD	COL6A1
CSRP2	TNFAIP6	CCDC80	SAT1	COL6A2
NDUFA4L2	VCAN	SFRP2	UAP1	
TPM1	ADAM12	PTGDS	OGN	
MAP1B	THY1	DCN	GFPT2	
FRZB	FN1	MGP	JUNB	
PRKCDBP	STEAP1	C1S	THBS1	
CSRP1	SPON2	IGFBP6	CDKN1A	
CAV1	PLAUR	GSN	C3	
ADAMTS4	SPHK1	TMEM176A	CYP1B1	
GJA4	LOX	FIBIN	EGR1	
RGS5	EMP1	TMEM176B	ABI3BP	
MEF2C	ANGPTL2	SERPINF1	GADD45B	
CALM2	RARRES2	FHL1	DUSP1	
APOLD1	SULF1	GPX3	RARRES1	
OAZ2	IGFBP3	CTGF	CST3	
MGST3	COL8A1	C1R		
ISYNA1	GREM1	SFRP4		
CPM	DCN	CYP1B1		
PGF	ITGA5	CST3		
GUCY1B3	ANTXR1	SLC40A1		
UBA2	RIN2	FHL2		
YIF1A	TMEM119	ELN		
PHLDA1	TNFRSF12A	KLF4		
NDRG2	P4HA3	RARRES1		
ID3	CRABP2	CYR61		
RGS16	TPM4	IGFBP5		
CYB5R3	LOXL1			
CRYAB	CPXM1			
OLFML2A	COL6A1			
TIMP3	ASPN			
GUCY1A3	PDLIM4			
FILIP1	ITGA11			
FAM13C	PRSS23			
NDUFS4	COL6A2			
ITGB1	SFRP2			
KCNE4	PLAU			
CPE	YIF1A			
	SNAI2			
	C1S			
	TMEM176B			
	CTGF			
	MORF4L2			
	UAP1			
	SERPINF1			
	ITGB1			
	TGFBI			
	HTRA3			
	C1R			
	TIMP1			
	LMNA			
	CYP1B1			
	MGP			
	ANGPTL4			

